image_var,name,tag,digest
KUBEVIRT_OPERATOR_IMAGE,quay.io/kubevirt/virt-operator,KUBEVIRT_VERSION,2614cefd38f12db94912773664ae001c4e716e1d2dc8ce99ec6ef34774fc1f23
KUBEVIRT_API_IMAGE,quay.io/kubevirt/virt-api,KUBEVIRT_VERSION,9beee8b716423c6cc10c176cd31b49cdcf14408b5c6830e9dbea0e2aad322cd7
KUBEVIRT_CONTROLLER_IMAGE,quay.io/kubevirt/virt-controller,KUBEVIRT_VERSION,41211a967a463fc2e85ab476ac8704603f9ea7e6b4ead5d2b7dcfd6a0e71a887
KUBEVIRT_LAUNCHER_IMAGE,quay.io/kubevirt/virt-launcher,KUBEVIRT_VERSION,a7d890ec3e04c1e34d0195ebb061fe648868e4b70cfb8f483a617669926e9712
KUBEVIRT_HANDLER_IMAGE,quay.io/kubevirt/virt-handler,KUBEVIRT_VERSION,2b850d7b438beed51f4160556cb095a3f6b6c94c2a7329a18e3836abca609409
KUBEVIRT_VIRTIO_IMAGE,quay.io/kubevirt/virtio-container-disk,KUBEVIRT_VERSION,373fae39339fb0b77a101c825b66b5ceadd79397119e46d0c540df26f74fc06a
CNA_OPERATOR_IMAGE,quay.io/kubevirt/cluster-network-addons-operator,NETWORK_ADDONS_VERSION,405e367fe5abec73277f38c4b0b13767028829f88e649ccf359af23f99414afe
SSP_OPERATOR_IMAGE,quay.io/kubevirt/ssp-operator,SSP_VERSION,ae5244fc5851b54877851ca6481e549bee750997ae7d3c94e1344230e6831600
CDI_OPERATOR_IMAGE,quay.io/kubevirt/cdi-operator,CDI_VERSION,4d6556472a296c87ca6b36bc926e38a4ac27c25e12721efe663f566b66280436
CDI_CONTROLLER_IMAGE,quay.io/kubevirt/cdi-controller,CDI_VERSION,bb54dd58553cb1bccbbe0e72edb58e0b21630c8fb99081476fdfe804b2edd05e
CDI_APISERVER_IMAGE,quay.io/kubevirt/cdi-apiserver,CDI_VERSION,38fac027574ec1fe23c750a80314032d45811e69446f2065e0eb573d8bc40567
CDI_CLONER_IMAGE,quay.io/kubevirt/cdi-cloner,CDI_VERSION,3ea6347028cbde3b70b7197a7d5fe3d833ff96cc2c682984c9b15aade999a68b
CDI_IMPORTER_IMAGE,quay.io/kubevirt/cdi-importer,CDI_VERSION,2de72d25cc2d4380afb4ff37685908e1afaeb4927454b5608299d2b2b61ef886
CDI_UPLOADPROXY_IMAGE,quay.io/kubevirt/cdi-uploadproxy,CDI_VERSION,936efbafcd7165a7d6db2bf73eb4bb201c08c3ffdaceeca74a68cfb21c482cba
CDI_UPLOADSERVER_IMAGE,quay.io/kubevirt/cdi-uploadserver,CDI_VERSION,bd403bedb18391ffc5b80008a3b3019c1ed9ef2119c47a29b42aba6d8c13d8ec
HPPO_IMAGE,quay.io/kubevirt/hostpath-provisioner-operator,HPPO_VERSION,74d53f8cd3906587a83dec04e747285c81c09b78515eb0bc5cf5c26ddcec9437
HPP_IMAGE,quay.io/kubevirt/hostpath-provisioner,HPP_VERSION,93085fb9d68e5e58b5886f4efc779307d345257165da958e4df8ee0c8994a765
VMIMPORT_OPERATOR_IMAGE,quay.io/kubevirt/vm-import-operator,VM_IMPORT_VERSION,5648506367cfcd06b8690e7c6f16322515d26ab09a7fc539329eb12dc4f30617
VMIMPORT_CONTROLLER_IMAGE,quay.io/kubevirt/vm-import-controller,VM_IMPORT_VERSION,6dc222d159b5bc50ed9f82a946cb6178c23653aaea8816365b6aadcb159adb55
VMIMPORT_VIRTV2V_IMAGE,quay.io/kubevirt/vm-import-virtv2v,VM_IMPORT_VERSION,595793a0178d13553ad5f43268988de5fa98bfd764a4fb5f40922a2a372010b8
NMO_IMAGE,quay.io/kubevirt/node-maintenance-operator,NMO_VERSION,71bb8de714dc0de0616050d66405ccb58841930fc1562a61399e1b964a0b678a
CONVERSION_IMAGE,quay.io/kubevirt/kubevirt-v2v-conversion,CONVERSION_CONTAINER_VERSION,c620233c71b805004c2cd38927c421b69d99b27cb40af521967e655882b2f815
VMWARE_IMAGE,quay.io/kubevirt/kubevirt-vmware,VMWARE_CONTAINER_VERSION,ae5ccd98a49ab9e154ce482d2fa73f044b00211f273210a9cd371b40746d3c92
